Record_ID,Timestamp,Admin_ID,Driver_ID,Vehicle_ID,Brand,Vehicle_Model,Category,Max_Range_km,Battery_Capacity_kWh,Vehicle_Weight_kg,Motor_Spec_kW,Battery_Percentage,Battery_Health_Percentage,Passenger_Count,Total_Load_Weight_kg,Remaining_Range_km,Road_Type,Vehicle_Status,Speed_kmph,Overspeed,Distance_Travelled_km,Energy_Consumed_kWh,Charging_Status,Charging_Duration_Hours,Workshop_Visit,Maintenance_Cost,OT_Maintenance_Cost,Breakdown,Income_Generated,Total_Expense,Driver_Safety_Score
1,2026-01-01 08:10:00,A001,D0001,EV00001,Tata,Tata Nexon EV,Compact SUV,489,45.0,1700,110,39,89,3,1910,160,Highway,Running,111,Yes,336,46.67,No,0.0,No,1712,0,No,11760,1712,90
2,2026-01-01 08:20:00,A001,D0002,EV00002,Tata,Tata Nexon EV,Compact SUV,489,45.0,1700,110,95,94,4,1980,361,City,Running,44,No,62,8.61,No,0.0,No,353,0,No,2170,353,100
3,2026-01-01 08:30:00,A001,D0003,EV00003,Tata,Tata Nexon EV,Compact SUV,489,45.0,1700,110,10,95,4,1980,38,City,Charging,0,No,94,13.06,Yes,1.5,No,107,0,No,3290,107,100
4,2026-01-01 08:40:00,A001,D0004,EV00004,Tata,Tata Nexon EV,Compact SUV,489,45.0,1700,110,49,91,1,1770,212,Highway,Running,99,No,247,34.31,No,0.0,No,569,0,No,8645,569,100
5,2026-01-01 08:50:00,A001,D0005,EV00005,Tata,Tata Punch EV,Compact SUV,421,35.0,1340,90,19,92,4,1620,70,Mixed,Charging,0,No,177,25.29,Yes,1.2,No,530,0,No,6195,530,100
6,2026-01-01 09:00:00,A001,D0006,EV00006,Tata,Tata Punch EV,Compact SUV,421,35.0,1340,90,31,75,3,1550,86,City,Running,43,No,81,11.57,No,0.0,No,3023,0,No,2835,3023,100
7,2026-01-01 09:10:00,A001,D0007,EV00007,Tata,Tata Punch EV,Compact SUV,421,35.0,1340,90,81,85,2,1480,255,City,Running,46,No,24,3.43,No,0.0,No,812,0,No,840,812,100
8,2026-01-01 09:20:00,A001,D0008,EV00008,MG,MG ZS EV,Compact SUV,461,50.3,1610,130,70,93,2,1750,277,Mixed,Running,66,No,177,23.92,No,0.0,No,718,0,No,6195,718,100
9,2026-01-01 09:30:00,A001,D0009,EV00009,MG,MG ZS EV,Compact SUV,461,50.3,1610,130,61,88,3,1820,211,City,Running,58,No,84,11.35,No,0.0,No,907,0,No,2940,907,100
10,2026-01-01 09:40:00,A001,D0010,EV00010,MG,MG ZS EV,Compact SUV,461,50.3,1610,130,88,100,0,1610,406,Highway,Running,90,No,138,18.65,No,0.0,No,147,0,No,4830,147,100
11,2026-01-01 09:50:00,A002,D0011,EV00011,Hyundai,Hyundai Kona Electric,Compact SUV,452,39.2,1535,100,100,96,3,1745,400,Mixed,Running,61,No,172,22.05,No,0.0,No,81,0,No,6020,81,100
12,2026-01-01 10:00:00,A002,D0012,EV00012,Hyundai,Hyundai Kona Electric,Compact SUV,452,39.2,1535,100,27,85,0,1535,104,Highway,Running,114,Yes,251,32.18,No,0.0,No,1710,0,No,8785,1710,90
13,2026-01-01 10:10:00,A002,D0013,EV00013,Hyundai,Hyundai Kona Electric,Compact SUV,452,39.2,1535,100,82,80,0,1535,261,City,Running,64,No,97,12.44,No,0.0,Yes,2325,267,No,3395,2592,95
14,2026-01-01 10:20:00,A002,D0014,EV00014,Hyundai,Hyundai Kona Electric,Compact SUV,452,39.2,1535,100,92,78,4,1815,277,City,Running,58,No,25,3.21,No,0.0,Yes,2590,712,No,875,3302,95
15,2026-01-01 10:30:00,A002,D0015,EV00015,Hyundai,Hyundai Ioniq 5,Premium Crossover,631,72.6,2015,160,28,80,3,2225,112,City,Running,31,No,103,12.88,No,0.0,Yes,1650,131,No,3605,1781,95
16,2026-01-01 10:40:00,A002,D0016,EV00016,Hyundai,Hyundai Ioniq 5,Premium Crossover,631,72.6,2015,160,52,76,2,2155,223,Mixed,Running,83,No,95,11.88,No,0.0,Yes,6516,577,No,3325,7093,95
17,2026-01-01 10:50:00,A002,D0017,EV00017,Hyundai,Hyundai Ioniq 5,Premium Crossover,631,72.6,2015,160,73,76,4,2295,299,Mixed,Running,68,No,105,13.12,No,0.0,No,2796,0,No,3675,2796,100
18,2026-01-01 11:00:00,A002,D0018,EV00018,Kia,Kia EV6,Premium Crossover,708,77.4,1985,168,58,95,2,2125,323,City,Running,29,No,51,6.22,No,0.0,No,271,0,No,1785,271,100
19,2026-01-01 11:10:00,A002,D0019,EV00019,Kia,Kia EV6,Premium Crossover,708,77.4,1985,168,30,90,3,2195,171,Mixed,Running,42,No,118,14.39,No,0.0,No,402,0,No,4130,402,100
20,2026-01-01 11:20:00,A002,D0020,EV00020,Kia,Kia EV6,Premium Crossover,708,77.4,1985,168,81,88,3,2195,474,Highway,Running,94,No,140,17.07,No,0.0,No,2107,0,No,4900,2107,100
21,2026-01-01 11:30:00,A003,D0021,EV00021,Volkswagen,Volkswagen ID.4,SUV,520,77.0,2120,150,44,84,3,2330,152,City,Running,30,No,61,8.97,No,0.0,No,1974,0,No,2135,1974,100
22,2026-01-01 11:40:00,A003,D0022,EV00022,Volkswagen,Volkswagen ID.4,SUV,520,77.0,2120,150,54,86,1,2190,200,City,Running,52,No,97,14.26,No,0.0,No,2474,0,No,3395,2474,100
23,2026-01-01 11:50:00,A003,D0023,EV00023,Volkswagen,Volkswagen ID.4,SUV,520,77.0,2120,150,46,78,3,2330,168,Highway,Running,105,Yes,294,43.24,No,0.0,No,6203,0,No,10290,6203,90
24,2026-01-01 12:00:00,A003,D0024,EV00024,Volkswagen,Volkswagen ID.4,SUV,520,77.0,2120,150,90,86,2,2260,319,City,Running,34,No,115,16.91,No,0.0,No,1813,0,No,4025,1813,100
