Record_ID,Timestamp,Admin_ID,Driver_ID,Vehicle_ID,Brand,Vehicle_Model,Category,Max_Range_km,Battery_Capacity_kWh,Vehicle_Weight_kg,Motor_Spec_kW,Battery_Percentage,Battery_Health_Percentage,Passenger_Count,Total_Load_Weight_kg,Remaining_Range_km,Road_Type,Vehicle_Status,Speed_kmph,Overspeed,Distance_Travelled_km,Energy_Consumed_kWh,Charging_Status,Charging_Duration_Hours,Workshop_Visit,Maintenance_Cost,OT_Maintenance_Cost,Breakdown,Income_Generated,Total_Expense,Driver_Safety_Score
1,2026-01-01 08:00:00,A001,D00001,EV00001,Citroën,Citroën ë-C3,Hatchback,320,29.2,1316,42,84,94,3,1526,222,City,Running,67,No,66,10.15,No,0.0,No,339,0,No,2310,339,100
2,2026-01-01 08:15:00,A001,D00002,EV00002,Citroën,Citroën ë-C3,Hatchback,320,29.2,1316,42,79,82,0,1316,182,City,Running,34,No,90,13.85,No,0.0,No,2097,0,No,3150,2097,100
3,2026-01-01 08:30:00,A001,D00003,EV00003,Citroën,Citroën ë-C3,Hatchback,320,29.2,1316,42,91,99,3,1526,288,Highway,Running,129,Yes,344,52.92,No,0.0,No,187,0,No,12040,187,90
4,2026-01-01 08:45:00,A001,D00004,EV00004,Citroën,Citroën ë-C3,Hatchback,320,29.2,1316,42,46,95,1,1386,140,Highway,Running,125,Yes,316,48.62,No,0.0,No,66,0,No,11060,66,90
5,2026-01-01 09:00:00,A001,D00005,EV00005,Citroën,Citroën ë-C3,Hatchback,320,29.2,1316,42,46,100,4,1596,130,City,Running,79,No,66,10.15,No,0.0,No,266,0,No,2310,266,100
6,2026-01-01 09:15:00,A001,D00006,EV00006,Kia,Kia EV6,Premium Crossover,708,77.4,1985,168,17,84,2,2125,95,Highway,Charging,0,No,165,20.12,Yes,2.4,No,2106,0,No,5775,2106,100
7,2026-01-01 09:30:00,A001,D00007,EV00007,Kia,Kia EV6,Premium Crossover,708,77.4,1985,168,86,94,0,1985,473,City,Running,26,No,30,3.66,No,0.0,No,505,0,No,1050,505,100
8,2026-01-01 09:45:00,A001,D00008,EV00008,Kia,Kia EV6,Premium Crossover,708,77.4,1985,168,75,92,3,2195,436,Mixed,Running,54,No,178,21.71,No,0.0,No,323,0,No,6230,323,100
9,2026-01-01 10:00:00,A001,D00009,EV00009,Kia,Kia EV6,Premium Crossover,708,77.4,1985,168,96,79,4,2265,459,Mixed,Under Maintenance,0,No,125,15.24,No,0.0,Yes,3248,1063,No,4375,4311,95
10,2026-01-01 10:15:00,A001,D00010,EV00010,Kia,Kia EV6,Premium Crossover,708,77.4,1985,168,49,98,4,2265,269,City,Running,26,No,44,5.37,No,0.0,No,61,0,No,1540,61,100
11,2026-01-01 10:30:00,A001,D00011,EV00011,Volkswagen,Volkswagen ID.4,SUV,520,77.0,2120,150,27,98,3,2330,109,City,Running,65,No,57,8.38,No,0.0,No,206,0,No,1995,206,100
12,2026-01-01 10:45:00,A001,D00012,EV00012,Volkswagen,Volkswagen ID.4,SUV,520,77.0,2120,150,91,87,2,2260,352,Mixed,Running,45,No,87,12.79,No,0.0,No,2492,0,No,3045,2492,100
13,2026-01-01 11:00:00,A002,D00013,EV00013,Hyundai,Hyundai Ioniq 5,Premium Crossover,631,72.6,2015,160,59,86,3,2225,274,Mixed,Running,52,No,52,6.5,No,0.0,No,2420,0,No,1820,2420,100
14,2026-01-01 11:15:00,A002,D00014,EV00014,Hyundai,Hyundai Ioniq 5,Premium Crossover,631,72.6,2015,160,43,95,2,2155,213,City,Running,76,No,114,14.25,No,0.0,No,176,0,No,3990,176,100
15,2026-01-01 11:30:00,A002,D00015,EV00015,Hyundai,Hyundai Ioniq 5,Premium Crossover,631,72.6,2015,160,59,100,1,2085,350,Highway,Running,83,No,116,14.5,No,0.0,No,42,0,No,4060,42,100
16,2026-01-01 11:45:00,A002,D00016,EV00016,Hyundai,Hyundai Ioniq 5,Premium Crossover,631,72.6,2015,160,35,99,3,2225,187,Mixed,Running,62,No,53,6.62,No,0.0,No,17,0,No,1855,17,100
17,2026-01-01 12:00:00,A002,D00017,EV00017,BYD,BYD Atto 3,SUV,521,60.5,1750,150,32,97,4,2030,144,Mixed,Running,56,No,106,13.77,No,0.0,No,173,0,No,3710,173,100
18,2026-01-01 12:15:00,A002,D00018,EV00018,BYD,BYD Atto 3,SUV,521,60.5,1750,150,34,94,2,1890,142,City,Running,62,No,78,10.13,No,0.0,No,484,0,No,2730,484,100
19,2026-01-01 12:30:00,A002,D00019,EV00019,BYD,BYD Atto 3,SUV,521,60.5,1750,150,11,96,1,1820,51,Mixed,Charging,0,No,97,12.6,Yes,2.5,No,73,0,No,3395,73,100
20,2026-01-01 12:45:00,A002,D00020,EV00020,MG,MG ZS EV,Compact SUV,461,50.3,1610,130,17,95,4,1890,64,City,Charging,0,No,30,4.05,Yes,2.4,No,142,0,No,1050,142,100
