Record_ID,Timestamp,Admin_ID,Driver_ID,Vehicle_ID,Brand,Vehicle_Model,Category,Max_Range_km,Battery_Capacity_kWh,Vehicle_Weight_kg,Motor_Spec_kW,Battery_Percentage,Battery_Health_Percentage,Passenger_Count,Total_Load_Weight_kg,Remaining_Range_km,Road_Type,Vehicle_Status,Speed_kmph,Overspeed,Distance_Travelled_km,Energy_Consumed_kWh,Charging_Status,Charging_Duration_Hours,Workshop_Visit,Maintenance_Cost,OT_Maintenance_Cost,Breakdown,Income_Generated,Total_Expense,Driver_Safety_Score
1,2026-01-01 08:00:00,A001,D00058,EV00001,BYD,BYD Atto 3,SUV,332,51.8,1809,154,76.2,72.3,5,2842.0,115.0,Highway,Running,122.0,Yes,38.0,15.91,No,0.0,Yes,409,0,No,1781,1730,91
2,2026-01-01 08:15:00,A009,D00131,EV00002,Citroën,Citroën ë-C3,Hatchback,335,56.8,2137,100,49.5,85.5,5,2926.0,64.0,Mixed,Running,64.0,No,46.0,14.07,No,0.0,No,164,0,No,1905,950,100
3,2026-01-01 08:30:00,A003,D00081,EV00003,Hyundai,Hyundai Ioniq 5,Premium Crossover,234,40.8,1326,58,65.4,72.7,4,1968.0,75.0,City,Running,42.0,No,28.0,9.88,No,0.0,No,571,0,No,827,2579,100
4,2026-01-01 08:45:00,A008,D00082,EV00004,Hyundai,Hyundai Kona Electric,Compact SUV,226,32.0,1198,66,65.1,100.0,4,1514.0,93.0,City,Running,10.0,No,52.0,8.28,No,0.0,No,102,0,No,1205,1659,100
5,2026-01-01 09:00:00,A005,D00041,EV00005,Kia,Kia EV6,Premium Crossover,240,34.6,1458,65,46.7,80.8,1,1652.0,64.0,Highway,Running,85.0,No,31.0,9.79,No,0.0,No,466,0,No,1288,2437,100
6,2026-01-01 09:15:00,A003,D00001,EV00006,MG,MG ZS EV,Compact SUV,219,48.0,2243,172,55.6,100.0,1,3095.0,91.0,City,Idle,7.0,No,27.0,8.57,No,0.0,No,107,0,No,916,2337,100
7,2026-01-01 09:30:00,A007,D00143,EV00007,Mahindra,Mahindra XUV400 EV,Compact SUV,332,60.9,1886,127,70.4,84.7,2,2113.0,116.0,City,Running,30.0,No,64.0,15.35,No,0.0,No,371,0,No,2600,1624,100
8,2026-01-01 09:45:00,A010,D00092,EV00008,Tata,Tata Nexon EV,Compact SUV,195,22.6,1554,87,71.0,64.7,5,2044.0,19.0,Highway,Running,68.0,No,42.0,13.63,No,0.0,Yes,1002,0,No,2504,3077,100
9,2026-01-01 10:00:00,A006,D00160,EV00009,Tata,Tata Punch EV,Compact SUV,334,79.1,1980,114,63.7,83.0,2,2637.0,145.0,City,Running,49.0,No,34.0,11.42,No,0.0,Yes,249,0,No,1108,1417,100
10,2026-01-01 10:15:00,A002,D00054,EV00010,Volkswagen,Volkswagen ID.4,SUV,341,66.4,1551,93,57.2,99.2,2,2210.0,147.0,City,Running,22.0,No,42.0,7.14,No,0.0,No,0,0,No,1135,1491,100
11,2026-01-01 10:30:00,A002,D00198,EV00011,BYD,BYD Atto 3,SUV,439,81.9,1766,160,50.6,66.4,2,2696.0,102.0,City,Running,15.0,No,40.0,12.65,No,0.0,No,469,0,No,1003,1950,100
12,2026-01-01 10:45:00,A004,D00096,EV00012,Citroën,Citroën ë-C3,Hatchback,195,41.4,2151,160,77.6,96.9,4,3039.0,95.0,Mixed,Idle,54.0,No,53.0,14.89,No,0.0,No,61,0,No,2198,2197,100
13,2026-01-01 11:00:00,A001,D00048,EV00013,Hyundai,Hyundai Ioniq 5,Premium Crossover,195,28.0,1391,135,77.6,96.0,5,1868.0,77.0,City,Running,22.0,No,53.0,10.94,No,0.0,No,0,0,No,1523,840,100
14,2026-01-01 11:15:00,A008,D00164,EV00014,Hyundai,Hyundai Kona Electric,Compact SUV,309,46.4,1755,148,73.8,100.0,3,2698.0,158.0,Highway,Running,122.0,Yes,36.0,10.76,No,0.0,No,53,0,No,1797,1843,95
15,2026-01-01 11:30:00,A001,D00142,EV00015,Kia,Kia EV6,Premium Crossover,294,43.6,1652,35,47.6,87.9,1,2479.0,40.0,Highway,Charging,0.0,No,65.0,14.45,Yes,0.7,No,323,0,No,0,2359,100
16,2026-01-01 11:45:00,A006,D00109,EV00016,MG,MG ZS EV,Compact SUV,195,24.6,1515,156,62.2,87.3,5,2161.0,0.0,Highway,Charging,0.0,No,48.0,14.38,Yes,2.8,No,198,0,No,0,1494,100
17,2026-01-01 12:00:00,A006,D00099,EV00017,Mahindra,Mahindra XUV400 EV,Compact SUV,580,82.0,1669,152,75.1,92.6,2,1879.0,348.0,City,Running,68.0,No,34.0,10.2,No,0.0,No,146,0,No,1170,937,100
